f_hip,f_hd,f_2mass,Fe,C,O,Mg,Si,Ca,Ti,Li,N,F,Na,Al,P,K,Co,Ni,Cu,Zn,Be,S,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_name,f_p,f_m_p,f_e,f_a,
32768 ,50310 ,06495616-5036523 ,0.02 ,-0.14 ,-0.06 ,0.21 ,0.27 ,0.1 ,4.61436e-16 ,-3.29 ,,,0.3 ,0.23 ,,,0.06 ,0.04 ,0.13 ,0.02 ,,0.67 ,102.4840380 ,-50.6145530 ,-19.561 ,48.653 ,-19.086 ,55.80 ,thin ,K1III ,2.94 ,1.207 ,12.70 ,-36.20 ,-8.70 ,,,,,,,,,
54614 ,97004 ,11103799+4225346 ,0.35 ,,,,0.31 ,,0.38 ,,,,0.46 ,,,,,0.37 ,,,,,167.6583109 ,42.4262890 ,-0.218 ,-0.493 ,-36.458 ,36.46 ,thin ,K0 ,7.70 ,0.767 ,2.10 ,13.10 ,5.90 ,5617.0 ,4.51 ,,,,,,,
98314 ,189186 ,19583262+0755144 ,-0.345 ,-0.45 ,-0.24 ,-0.125 ,-0.22 ,-0.24 ,-0.25 ,-3.295 ,-0.27 ,,-0.285 ,-0.215 ,,,-0.3 ,-0.315 ,-0.41 ,-0.27 ,,-0.1 ,299.6359045 ,7.9206766 ,2.384 ,5.862 ,94.743 ,94.95 ,thin ,K0 ,6.77 ,0.902 ,28.60 ,47.50 ,-14.90 ,5002.0 ,3.13 ,,,,,,,
98316 ,188559 ,19583298-5456128 ,-0.01 ,0.07 ,0.13 ,0.0165 ,-0.013 ,0.03 ,0.223 ,,,,0.105 ,0.1 ,,,0.145 ,0.03 ,-0.07 ,-0.14 ,,0.85 ,299.6374341 ,-54.9368916 ,0.363 ,0.896 ,23.577 ,23.60 ,N/A ,K3+V ,8.54 ,1.050 ,9999.00 ,9999.00 ,9999.00 ,4739.5 ,4.33 ,,,,,,,
65550 ,116957 ,13261658+4601411 ,-0.04 ,-0.265 ,-0.07 ,-0.055 ,0.06 ,0.005 ,-0.045 ,-2.68 ,0.15 ,,0.005 ,0.085 ,,,0.015 ,-0.07 ,-0.11 ,0.12 ,,0.3 ,201.5691765 ,46.0280571 ,-44.579 ,-24.775 ,99.180 ,111.53 ,thin ,K0III: ,5.88 ,0.985 ,20.70 ,4.40 ,6.10 ,,,,,,,,,
98329 ,189004 ,19583989-1956080 ,-0.05 ,-0.11 ,,-0.053 ,-0.033 ,0.005 ,0.078 ,,,,-0.045 ,-0.14 ,,,-0.011 ,-0.064 ,-0.29 ,-0.28 ,,,299.6662803 ,-19.9356417 ,-7.640 ,-20.557 ,-41.645 ,47.07 ,N/A ,K1V ,9.38 ,0.866 ,9999.00 ,9999.00 ,9999.00 ,5094.0 ,4.36 ,,,,,,,
98337 ,189319 ,,-0.17 ,-0.46 ,-0.56 ,-0.07 ,0.42 ,0.14 ,-0.33 ,-3.6 ,,,0.7 ,0.03 ,,,-0.11 ,-0.08 ,0.8 ,-0.56 ,,2.06 ,299.6892843 ,19.4921465 ,-20.970 ,-60.665 ,48.049 ,80.18 ,thin ,M0-III ,3.47 ,1.571 ,-35.80 ,-19.40 ,-13.70 ,3944.4 ,1.25 ,,,,,,,
65574 ,116858 ,13263957-2417359 ,-0.18 ,-0.08 ,-0.01 ,-0.177 ,-0.169 ,-0.113 ,0.02 ,,,,-0.15 ,-0.095 ,,,-0.09 ,-0.188 ,-0.14 ,-0.375 ,,0.43 ,201.6648170 ,-24.2933570 ,16.631 ,11.449 ,22.498 ,30.23 ,thin ,K2.5V(k) ,8.78 ,0.920 ,-42.20 ,-26.90 ,-8.20 ,4951.5 ,4.49 ,,,,,,,
32812 ,,06502404-5102443 ,0.03 ,0.02 ,,-0.2 ,0.037 ,0.052 ,0.232 ,,,,0.19 ,0.15 ,,,0.161 ,0.048 ,-0.05 ,-0.16 ,,,102.6001990 ,-51.0456522 ,-18.344 ,33.703 ,-37.973 ,53.98 ,N/A ,K0 ,9.96 ,0.942 ,9999.00 ,9999.00 ,9999.00 ,4977.0 ,4.41 ,,,,,,,
65583 ,116941 ,13264443+1656549 ,-0.1005 ,0.056 ,0.134 ,-0.0125 ,-0.043 ,-0.0415 ,-0.0725 ,,,,-0.101 ,-0.1395 ,,,-0.112 ,-0.134 ,-0.3185 ,-0.246 ,,-0.015 ,201.6850970 ,16.9486450 ,-19.469 ,-13.992 ,-69.971 ,73.96 ,thin ,F8 ,8.01 ,0.510 ,-9.60 ,15.70 ,15.00 ,6115.0 ,,,,,,,,
98353 ,189005 ,19585719-2611447 ,-0.15 ,,,-0.07 ,0.03 ,-0.03 ,-0.03 ,,,,0.09 ,0.01 ,,,-0.07 ,-0.15 ,,,,,299.7383230 ,-26.1957660 ,-13.077 ,-44.840 ,-83.941 ,96.06 ,thin ,G6IIIa:Ba0.3 ,4.85 ,0.882 ,-52.90 ,2.00 ,12.90 ,5131.5 ,2.83 ,,,,,,,
98355 ,188815 ,19585853-4605169 ,-0.52 ,-0.44 ,-0.23 ,-0.39 ,-0.49 ,-0.49 ,-0.49 ,-0.76 ,,,-0.46 ,-0.55 ,,,-0.431 ,-0.56 ,-0.805 ,-0.75 ,,-0.52 ,299.7439220 ,-46.0880451 ,7.224 ,25.296 ,-44.394 ,51.60 ,thin ,F8Vm-2 ,7.50 ,0.478 ,-13.90 ,13.60 ,-12.20 ,6223.3 ,4.30 ,,,,,,,
57 ,224789 ,00004029-6940335 ,3.46945e-17 ,0.05 ,-0.1 ,0.007 ,0.035 ,0.0835 ,0.0935 ,,,,0.03 ,0.025 ,,,0.0185 ,2.498e-16 ,-0.05 ,-0.07 ,,0.21 ,0.1680004 ,-69.6759657 ,24.455 ,4.148 ,-15.583 ,29.29 ,thin ,K1V ,8.24 ,0.863 ,22.90 ,-23.60 ,-19.20 ,5167.3 ,4.42 ,,,,,,,
65595 ,117566 ,13265682+7838379 ,0.08 ,-0.13 ,0.07 ,0.02 ,0.05 ,0.04 ,0.01 ,,0.31 ,,0.03 ,,,,,0.02 ,-0.12 ,,,,201.7366919 ,78.6438700 ,-69.054 ,-55.245 ,-9.235 ,88.91 ,thin ,G3IIIbFe-1CH1 ,5.75 ,0.769 ,-57.60 ,-20.00 ,6.60 ,5488.7 ,3.42 ,,,,,,,
65602 ,116920 ,13270292-2417255 ,-0.21 ,0.04 ,,-0.183 ,-0.2 ,-0.115 ,0.01 ,,,,-0.125 ,-0.1 ,,,-0.144 ,-0.2 ,-0.31 ,-0.41 ,,,201.7621010 ,-24.2904450 ,14.983 ,12.624 ,21.959 ,29.43 ,thin ,K2+V ,8.73 ,0.911 ,-41.40 ,-25.60 ,-7.90 ,4971.5 ,4.42 ,,,,,,,
80 ,224817 ,00005823-1149253 ,-0.535 ,-0.365 ,-0.155 ,-0.225 ,-0.395 ,-0.385 ,-0.37 ,-1.48 ,,,-0.56 ,-0.41 ,,,-0.404 ,-0.58 ,-0.71 ,-0.55 ,,-0.3 ,0.2428308 ,-11.8237401 ,51.145 ,12.670 ,48.366 ,71.52 ,thick ,G2V ,8.40 ,0.566 ,-111.50 ,-91.50 ,-24.80 ,5862.7 ,4.05 ,,,,,,,
32851 ,49933 ,06504983-0032270 ,-0.36 ,-0.26 ,-0.21 ,-0.26 ,-0.315 ,-0.345 ,-0.16 ,,,,-0.365 ,-0.355 ,,-0.17 ,-0.325 ,-0.42 ,-0.62 ,-0.555 ,,-0.405 ,102.7076294 ,-0.5408793 ,-14.574 ,21.037 ,-15.371 ,29.85 ,thin ,F3V ,5.78 ,0.396 ,24.40 ,-13.70 ,-9.40 ,6621.9 ,4.21 ,,,,,,,
65626 ,116883 ,13271807-3957100 ,-0.18 ,-0.23 ,,-0.143 ,-0.173 ,-0.105 ,0.024 ,,,,-0.19 ,-0.14 ,,,-0.161 ,-0.207 ,-0.34 ,-0.4 ,,,201.8253564 ,-39.9528113 ,-19.503 ,-18.665 ,-33.185 ,42.78 ,N/A ,K3V ,9.59 ,0.936 ,9999.00 ,9999.00 ,9999.00 ,4902.0 ,4.36 ,,,,,,,
65636 ,116963 ,,-0.025 ,-0.17 ,,-0.055 ,-0.075 ,0.0465 ,0.24 ,,,,-0.07 ,0.1325 ,,,0.015 ,-0.02 ,,,,,201.8538678 ,-21.6553168 ,-25.556 ,-25.893 ,-12.699 ,38.53 ,N/A ,K4Vk ,9.88 ,1.092 ,9999.00 ,9999.00 ,9999.00 ,4677.0 ,4.54 ,,,,,,,
65639 ,116976 ,13272717-1558245 ,0.26 ,-0.03 ,0.1 ,0.38 ,0.51 ,0.28 ,0.27 ,-2.61 ,,,0.56 ,0.41 ,,,0.35 ,0.34 ,0.3 ,1.84 ,,1.13 ,201.8631812 ,-15.9735828 ,-53.118 ,-54.829 ,20.768 ,79.11 ,thin ,K0III-IIIbCN1.5CH0.5 ,4.76 ,1.096 ,-48.60 ,-17.90 ,3.30 ,4633.7 ,2.38 ,,,,,,,
65641 ,117122 ,13272761+4442254 ,0.055 ,0.09 ,-0.005 ,0.04 ,0.02 ,0.02 ,0.02 ,,-0.08 ,,-0.1 ,-0.02 ,,,,0.04 ,,,,,201.8650555 ,44.7070318 ,28.801 ,29.841 ,36.723 ,55.40 ,thin ,G5 ,8.43 ,0.692 ,6.40 ,22.90 ,-6.90 ,5713.0 ,4.43 ,,,,,,,
32874 ,49736 ,06510043+2545378 ,-0.03 ,,,,-0.03 ,,0.05 ,,,,-0.04 ,,,,,-0.05 ,,,,,102.7517891 ,25.7603599 ,-16.845 ,22.157 ,20.192 ,34.39 ,thin ,F9V ,6.98 ,0.600 ,-3.80 ,-30.80 ,-10.40 ,5970.0 ,4.34 ,,,,,,,
98413 ,189242 ,19594593-2012374 ,-0.355 ,-0.36 ,,-0.3485 ,-0.3265 ,-0.249 ,-0.1225 ,,,,-0.35 ,-0.26 ,,,-0.3235 ,-0.3745 ,-0.49 ,-0.46 ,,,299.9413726 ,-20.2104102 ,-0.584 ,-7.220 ,-33.993 ,34.76 ,N/A ,K2+V ,9.23 ,0.920 ,9999.00 ,9999.00 ,9999.00 ,4902.0 ,4.45 ,,,,,,,
98416 ,189340 ,19594734-0957293 ,-0.065 ,,-0.1 ,0.04 ,-0.09 ,0.03 ,-0.04 ,-0.905 ,,,-0.12 ,-0.01 ,,-0.17 ,0.1 ,-0.105 ,-0.39 ,-0.265 ,,-3.46945e-17 ,299.9471750 ,-9.9582570 ,1.431 ,19.064 ,11.291 ,22.20 ,thin ,F9V ,5.88 ,0.598 ,53.10 ,-26.90 ,-1.80 ,5884.4 ,4.24 ,,,,,,,
32892 ,,,0.28 ,0.39 ,0.19 ,0.22 ,0.23 ,0.27 ,0.2 ,,0.24 ,,0.25 ,0.2 ,,,,0.32 ,,,,,102.7992609 ,40.4953377 ,65.775 ,-78.489 ,36.844 ,108.83 ,thin ,G0... ,8.94 ,0.711 ,-21.50 ,8.60 ,8.40 ,,,,,,,,,
16405 ,21774 ,03311544+2046054 ,0.3 ,0.26 ,0.19 ,0.18 ,0.205 ,0.19 ,0.195 ,,0.13 ,,0.19 ,0.12 ,,,,0.26 ,,,,,52.8142644 ,20.7680761 ,15.094 ,-10.168 ,50.212 ,53.41 ,thin ,G5 ,8.16 ,0.680 ,25.30 ,-16.90 ,-46.00 ,5743.0 ,4.36 ,,,,,,,
92864 ,175128 ,18552052-3232340 ,0.11 ,0.1505 ,0.08 ,0.19 ,0.08 ,0.12 ,0.07 ,,,,0.077 ,0.07 ,,,0.11 ,0.06 ,-0.0215 ,0.02 ,,0.11 ,283.8355410 ,-32.5428530 ,17.995 ,34.685 ,-82.174 ,90.99 ,thick ,F7/8V ,8.37 ,0.576 ,-41.70 ,-88.30 ,-15.80 ,6148.7 ,4.09 ,,,,,,,
103787 ,200083 ,21015306-2234571 ,-0.055 ,-0.1 ,,-0.023 ,-0.05 ,0.028 ,0.279 ,,,,0.185 ,0.1 ,,,0.096 ,-0.03 ,,,,,315.4711567 ,-22.5826051 ,-8.078 ,-30.501 ,21.193 ,38.01 ,N/A ,K3.5V ,9.54 ,1.055 ,9999.00 ,9999.00 ,9999.00 ,4828.0 ,4.42 ,,,,,,,
98442 ,189509 ,20000817+0745381 ,0.12 ,,,0.09 ,0.19 ,0.22 ,0.4 ,,,,0.28 ,0.24 ,,,0.65 ,0.24 ,-0.53 ,-0.5 ,,0.12 ,300.0340911 ,7.7606193 ,0.052 ,-4.363 ,46.594 ,46.80 ,thin ,F5 ,7.23 ,0.506 ,-12.50 ,-7.70 ,-3.40 ,6422.0 ,,,,,,,,
32916 ,49674 ,06513051+4052041 ,0.35 ,0.23 ,0.1 ,0.31 ,0.27 ,0.32 ,0.31 ,-2.89 ,0.06 ,,0.31 ,0.296 ,,,0.35 ,0.31 ,0.185 ,0.15 ,,0.18 ,102.8771514 ,40.8677571 ,30.086 ,-30.694 ,-1.163 ,43.00 ,thin ,G0 ,8.10 ,0.729 ,-14.30 ,-25.80 ,1.10 ,5602.5 ,4.44 ,,b ,4.94737 ,0.1 ,0.09 ,0.06 ,
154 ,224935 ,00015760-0600507 ,0.09 ,0.5 ,0.26 ,,-0.06 ,0.03 ,,,0.31 ,,,,,,,,,,,,0.4900780 ,-6.0140710 ,112.654 ,60.100 ,35.216 ,132.45 ,thin ,M2III ,4.41 ,1.631 ,-12.50 ,-38.10 ,-4.10 ,3647.0 ,,,,,,,,
98461 ,189195 ,20001593-3742060 ,-0.13 ,,,-0.04 ,-4.26742e-16 ,-0.03 ,-0.07 ,,,,3.46945e-17 ,-0.02 ,,,-0.07 ,-0.14 ,,,,,300.0663871 ,-37.7017226 ,5.071 ,-114.428 ,-0.299 ,114.54 ,thin ,G8/K0III ,5.96 ,0.989 ,15.40 ,2.00 ,-19.90 ,4887.0 ,2.68 ,,,,,,,
98470 ,189245 ,20002024-3342122 ,-0.31 ,-0.52 ,,,0.12 ,0.72 ,0.47 ,,,,,,,,0.66 ,0.82 ,,,,0.04 ,300.0843712 ,-33.7034521 ,-0.900 ,14.428 ,-16.592 ,22.01 ,thin ,F8.5VFe-0.6CH-0.5 ,5.66 ,0.498 ,-16.10 ,-26.90 ,-12.70 ,6360.5 ,,,,,,,,
171 ,224930 ,00021014+2704570 ,-0.79 ,0.27 ,-0.3 ,-0.39 ,-0.52 ,-0.44 ,-0.47 ,-3.78 ,0.38 ,,-0.7 ,-0.49 ,,,-0.54 ,-0.75 ,-0.89 ,-0.52 ,,-0.285 ,0.5424540 ,27.0820840 ,-3.852 ,-2.322 ,11.308 ,12.17 ,thin ,G5VFe-1 ,5.75 ,0.690 ,-8.80 ,-74.80 ,-34.30 ,5363.0 ,4.41 ,,,,,,,
65708 ,117126 ,13281869-0050244 ,-0.028 ,0.1095 ,0.095 ,0.12 ,-0.009 ,0.0175 ,0.055 ,-2.59 ,,,3.46945e-17 ,0.045 ,,,0.015 ,-0.01 ,-0.0585 ,-0.093 ,,0.0145 ,202.0779540 ,-0.8401890 ,15.492 ,24.999 ,-32.824 ,44.07 ,thick ,G3/5V ,7.44 ,0.651 ,72.80 ,-31.10 ,-57.10 ,5725.4 ,4.26 ,,,,,,,
98482 ,189080 ,20002533-4921032 ,-0.14 ,,,-0.1 ,-0.02 ,-0.07 ,-0.07 ,,,,-0.06 ,-0.08 ,,,-0.05 ,-0.14 ,,,,,300.1055316 ,-49.3509456 ,5.488 ,-65.629 ,85.515 ,107.94 ,thin ,K0III ,6.18 ,1.056 ,74.50 ,-19.50 ,-2.40 ,4720.0 ,2.61 ,,,,,,,
184 ,224983 ,00022153+1100223 ,0.12 ,0.09 ,0.07 ,0.08 ,0.08 ,0.13 ,0.09 ,,0.05 ,,0.03 ,0.05 ,,,,0.14 ,,,,,0.5897621 ,11.0062375 ,0.300 ,0.201 ,-33.809 ,33.81 ,thin ,K0 ,8.48 ,0.888 ,6.20 ,-14.70 ,9.70 ,,,,,,,,,
65721 ,117176 ,13282584+1346447 ,-0.01 ,0.039 ,0.01 ,0.085 ,-0.05 ,0.0135 ,0.023 ,-1.45 ,-0.21 ,,-0.12 ,0.0065 ,,-0.21 ,0.02 ,-0.07 ,-0.085 ,-0.105 ,,0.02 ,202.1075341 ,13.7787897 ,3.147 ,5.430 ,16.756 ,17.89 ,thin ,G5V ,4.97 ,0.714 ,12.90 ,-51.40 ,-4.30 ,5531.6 ,3.97 ,,b ,116.6884 ,7.62 ,0.4 ,0.48 ,
32955 ,49732 ,06515091+4134345 ,-0.66 ,,-0.34 ,-0.5 ,-0.595 ,-0.54 ,-0.555 ,-0.91 ,,,-0.67 ,-0.63 ,,-0.42 ,,-0.73 ,,,,,102.9620830 ,41.5763170 ,38.156 ,-32.828 ,-45.556 ,67.89 ,thin ,F8 ,7.85 ,0.439 ,27.10 ,28.90 ,-20.60 ,6269.8 ,4.13 ,,,,,,,
65725 ,117190 ,13282669+1542308 ,0.002 ,0.042 ,0.0845 ,0.0155 ,-0.0015 ,0.042 ,0.0215 ,,,,-0.123 ,-0.06 ,,,-0.0585 ,-0.0485 ,-0.2555 ,-0.2085 ,,,202.1111720 ,15.7082990 ,-25.407 ,-44.214 ,-0.017 ,50.99 ,thin ,F5 ,7.91 ,0.540 ,-16.30 ,-4.50 ,-13.10 ,6079.0 ,,,,,,,,
65737 ,117105 ,13283057-2723311 ,-0.28 ,-0.21 ,-0.215 ,-0.12 ,-0.2 ,-0.163 ,-0.13 ,-1.35 ,,,-0.27 ,-0.2 ,,,-0.249 ,-0.29 ,-0.42 ,-0.4 ,,-0.3225 ,202.1273027 ,-27.3918455 ,-11.220 ,-20.276 ,-28.174 ,36.48 ,thin ,F9.5V ,7.21 ,0.583 ,-41.90 ,-2.30 ,33.90 ,5892.2 ,4.40 ,,,,,,,
32970 ,50499 ,06520202-3354559 ,0.352 ,0.385 ,0.2 ,0.35 ,0.34 ,0.325 ,0.3 ,-0.62 ,0.39 ,,0.46 ,0.322 ,,,0.27 ,0.39 ,0.38 ,0.35 ,,0.325 ,103.0084347 ,-33.9155601 ,29.159 ,-22.824 ,-27.683 ,46.23 ,thin ,G0/2V ,7.20 ,0.614 ,-32.50 ,-21.40 ,-17.00 ,6043.2 ,4.32 ,,b ,2482.7 ,1.71 ,0.23 ,3.86 ,
32971 ,50255 ,06520238-1112161 ,-0.03 ,-0.12 ,,-0.1 ,-0.06 ,-0.04 ,-0.04 ,,,,-0.14 ,-0.19 ,,,-0.21 ,-0.11 ,-0.26 ,,,-0.28 ,103.0099376 ,-11.2045105 ,-7.699 ,6.007 ,46.055 ,47.08 ,thin ,G4.5V ,7.43 ,0.721 ,-13.30 ,-5.40 ,-7.50 ,5489.0 ,,,,,,,,
65747 ,117243 ,13283931+2826547 ,0.34 ,,0.33 ,0.39 ,0.41 ,0.29 ,0.26 ,,,,0.51 ,0.33 ,,,0.36 ,0.36 ,,,,,202.1637189 ,28.4485902 ,-31.082 ,-61.339 ,-12.105 ,69.82 ,thin ,G1/2V ,8.34 ,0.682 ,-16.60 ,-53.30 ,-14.90 ,5888.5 ,4.36 ,,,,,,,
32984 ,50281 ,06521806-0510253 ,0.02 ,1.07 ,0.09 ,-0.12 ,0.005 ,-0.03 ,0.17 ,-3.53 ,,,0.015 ,0.02 ,,,0.16 ,0.02 ,-0.03 ,0.02 ,,0.85 ,103.0752102 ,-5.1737128 ,-3.219 ,2.189 ,7.831 ,8.74 ,thin ,K3.5V ,6.57 ,1.071 ,-0.10 ,12.70 ,-19.80 ,4763.6 ,4.45 ,,,,,,,
65758 ,115499 ,13284861-8626587 ,0.11 ,0.09 ,,0.06 ,0.049 ,0.177 ,0.144 ,,,,0.055 ,0.035 ,,,0.087 ,0.066 ,-0.19 ,-0.09 ,,,202.2023639 ,-86.4496484 ,1.412 ,3.077 ,60.556 ,60.65 ,N/A ,G5/6V ,9.19 ,0.750 ,9999.00 ,9999.00 ,9999.00 ,5542.0 ,4.45 ,,,,,,,
32993 ,50206 ,06522485+0753462 ,0.18 ,,,0.34 ,0.19 ,0.27 ,0.25 ,,,,0.32 ,0.15 ,,,0.43 ,0.19 ,-0.03 ,-0.14 ,,0.08 ,103.1035600 ,7.8961906 ,3.536 ,-2.261 ,99.377 ,99.47 ,N/A ,F5 ,7.60 ,0.491 ,9999.00 ,9999.00 ,9999.00 ,6455.0 ,,,,,,,,
32994 ,50652 ,06522507-3751020 ,0.28 ,0.27 ,0.255 ,0.3 ,0.26 ,0.25 ,0.24 ,,,,0.3 ,0.3 ,,,0.28 ,0.28 ,0.37 ,0.275 ,,0.34 ,103.1044965 ,-37.8506044 ,-65.105 ,41.553 ,-11.791 ,78.13 ,N/A ,G5V ,8.64 ,0.691 ,9999.00 ,9999.00 ,9999.00 ,5705.0 ,,,,,,,,
98532 ,189558 ,20010027-1215198 ,-1.08 ,-1.01 ,-0.57 ,-0.69 ,-0.77 ,-0.78 ,-0.85 ,-1.05 ,,,-1.175 ,-0.97 ,,,-0.835 ,-1.125 ,-1.605 ,-1.1 ,,-0.59 ,300.2510219 ,-12.2556544 ,13.624 ,-58.472 ,19.279 ,63.06 ,thick ,F8/G2V ,7.72 ,0.571 ,71.30 ,-122.00 ,41.40 ,5686.1 ,3.86 ,,,,,,,
65790 ,117304 ,13291301+1049060 ,-0.04 ,-0.17 ,-0.02 ,0.1 ,0.01 ,-0.01 ,-0.07 ,-2.02 ,0.075 ,,-0.06 ,0.015 ,,,0.045 ,-0.05 ,-0.07 ,0.27 ,,0.6 ,202.3041686 ,10.8183078 ,-5.032 ,-14.761 ,-87.053 ,88.44 ,thin ,K0III ,5.66 ,1.052 ,-12.50 ,-29.80 ,-0.10 ,4697.5 ,2.53 ,,,,,,,
98565 ,189712 ,20011590+0538539 ,-0.45 ,,-0.28 ,-0.265 ,-0.41 ,-0.37 ,-0.37 ,,,,-0.465 ,-0.41 ,,,-0.145 ,-0.53 ,-0.79 ,-0.615 ,,-0.33 ,300.3162286 ,5.6482482 ,21.085 ,-69.606 ,-53.580 ,90.33 ,thin ,F6IVm-2 ,7.45 ,0.438 ,31.10 ,11.30 ,0.60 ,6397.0 ,3.87 ,,,,,,,
33037 ,50590 ,06525962-2306277 ,-0.18 ,-0.03 ,0.11 ,-0.05 ,-0.151 ,-0.03 ,0.14 ,,,,-0.15 ,-2.13371e-16 ,,,-0.07 ,-0.19 ,-0.205 ,-0.32 ,,0.58 ,103.2484982 ,-23.1076997 ,12.182 ,-5.499 ,27.371 ,30.46 ,thin ,K3V ,9.03 ,0.976 ,-36.70 ,-56.50 ,22.80 ,4815.0 ,4.36 ,,,,,,,
65808 ,117207 ,13292114-3534154 ,0.26 ,0.3 ,0.14 ,0.2685 ,0.227 ,0.221 ,0.248 ,,0.16 ,,0.28 ,0.25 ,,,0.304 ,0.27 ,0.206 ,0.11 ,,0.207 ,202.3379708 ,-35.5709962 ,-4.968 ,-16.362 ,27.437 ,32.33 ,thin ,G7IV-V ,7.25 ,0.724 ,-33.60 ,-12.50 ,-13.10 ,5662.6 ,4.33 ,,b ,2597.0 ,1.73 ,0.14 ,3.74 ,
98589 ,189625 ,20013279-1652083 ,0.21 ,0.205 ,0.0435 ,0.22 ,0.18 ,0.23 ,0.2195 ,-1.19 ,,,0.2 ,0.191 ,,,0.24 ,0.227 ,0.0475 ,-0.0015 ,,0.042 ,300.3866675 ,-16.8689987 ,-4.840 ,12.684 ,31.256 ,34.08 ,thin ,G2-V ,7.33 ,0.654 ,-31.90 ,-16.90 ,-13.00 ,5850.2 ,4.45 ,,,,,,,
33061 ,50943 ,06531284-4455430 ,0.48 ,0.32 ,,0.4 ,0.45 ,0.42 ,0.49 ,,,,,0.46 ,,,,,,,,,103.3035405 ,-44.9286124 ,-51.495 ,19.915 ,-76.609 ,94.43 ,N/A ,G6III ,8.90 ,0.794 ,9999.00 ,9999.00 ,9999.00 ,,,,,,,,,
98599 ,189627 ,20013818-2206390 ,0.35 ,0.32 ,0.31 ,0.41 ,0.24 ,0.3 ,0.28 ,,,,0.255 ,0.205 ,,,0.39 ,0.31 ,0.09 ,0.24 ,,0.39 ,300.4091060 ,-22.1108670 ,-26.576 ,65.207 ,8.470 ,70.92 ,thin ,F7V ,8.09 ,0.556 ,-8.60 ,-19.10 ,4.10 ,6287.5 ,,,,,,,,
33072 ,52449 ,06531644-7443308 ,0.13 ,0.24 ,0.11 ,0.067 ,0.131 ,0.192 ,0.185 ,-0.38 ,,,0.13 ,0.02 ,,,0.106 ,0.121 ,-0.12 ,-0.11 ,,,103.3184959 ,-74.7251868 ,-40.450 ,14.952 ,34.380 ,55.15 ,thin ,F8V+A/F ,7.65 ,0.525 ,-44.00 ,-13.80 ,-8.10 ,6329.0 ,4.55 ,,,,,,,
305 ,225155 ,00035334-2823377 ,0.22 ,0.22 ,0.34 ,0.3 ,0.24 ,0.215 ,0.24 ,,,,0.15 ,0.285 ,,,0.3 ,0.245 ,0.29 ,0.29 ,,0.23 ,0.9723400 ,-28.3938190 ,-26.236 ,-38.476 ,5.591 ,46.90 ,thin ,G5IV ,7.64 ,0.741 ,-21.10 ,-15.70 ,17.40 ,5622.0 ,4.01 ,,,,,,,
98621 ,188748 ,20015206-6911167 ,-0.08 ,-0.1 ,0.025 ,-0.016 ,-0.071 ,-0.0395 ,0.005 ,,,,-0.085 ,-0.0325 ,,,-0.0405 ,-0.092 ,-0.18 ,-0.185 ,,-0.1225 ,300.4668710 ,-69.1879429 ,17.576 ,-36.875 ,-2.983 ,40.96 ,thin ,G4V ,8.11 ,0.674 ,-53.90 ,1.70 ,-15.40 ,5666.8 ,4.44 ,,,,,,,
65855 ,117405 ,13295765+0600483 ,-0.57 ,,,-0.31 ,-0.49 ,-0.48 ,-0.62 ,,,,,-0.52 ,,-0.55 ,,-0.58 ,,,,,202.4901661 ,6.0135295 ,17.577 ,122.457 ,-34.192 ,128.35 ,thin ,K0 ,6.51 ,0.956 ,-35.60 ,29.40 ,-2.30 ,4819.0 ,2.44 ,,,,,,,
33094 ,50806 ,06533391-2832228 ,0.0665 ,0.204 ,0.145 ,0.237 ,0.12 ,0.138 ,0.1895 ,-2.68 ,-6.93889e-17 ,,0.115 ,0.2 ,,,0.19 ,0.1 ,0.099 ,0.03 ,,0.125 ,103.3914275 ,-28.5397933 ,23.912 ,-6.905 ,6.767 ,25.79 ,thick ,G5V ,6.04 ,0.708 ,17.10 ,-95.20 ,-6.30 ,5621.0 ,4.12 ,,,,,,,
33109 ,50639 ,06534483-0930554 ,0.02 ,0.075 ,0.04 ,0.01 ,0.005 ,0.05 ,0.035 ,,0.1 ,,-0.06 ,-0.14 ,,,,0.005 ,,,,,103.4368180 ,-9.5154480 ,37.960 ,-9.118 ,3.549 ,39.20 ,thin ,F8.5V ,7.05 ,0.566 ,3.60 ,1.20 ,-12.20 ,6099.3 ,4.29 ,,,,,,,
343 ,225197 ,00041979-1631443 ,0.2 ,-8.46545e-16 ,0.08 ,0.355 ,0.34 ,0.12 ,0.19 ,-2.975 ,0.475 ,,0.34 ,0.375 ,,,0.36 ,0.25 ,0.25 ,0.74 ,,1.04 ,1.0824633 ,-16.5290378 ,-32.430 ,-61.044 ,74.241 ,101.44 ,thin ,K0III ,5.78 ,1.084 ,-5.40 ,-25.10 ,-33.80 ,4770.8 ,2.60 ,,,,,,,
65882 ,117497 ,13301685+2834044 ,0.1 ,0.075 ,0.31 ,0.03 ,0.09 ,0.14 ,0.08 ,,0.19 ,,-0.09 ,-0.15 ,,,,0.05 ,,,,,202.5702647 ,28.5679240 ,-6.374 ,-101.916 ,-30.872 ,106.68 ,thin ,F7V ,8.77 ,0.494 ,-6.10 ,-6.40 ,-5.40 ,6376.0 ,,,,,,,,
