f_hip,f_hd,f_2mass,Fe,C,O,Mg,Si,Ca,Ti,Li,N,F,Na,Al,P,K,Co,Ni,Cu,Zn,Be,S,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_name,f_p,f_m_p,f_e,f_a,
16029 ,21430 ,03262252-2719028 ,-0.315 ,-0.57 ,-0.27 ,-0.135 ,-0.195 ,-0.175 ,-0.22 ,-3.15 ,,,-0.14 ,-0.15 ,,,-0.255 ,-0.325 ,-0.39 ,-0.5 ,,-0.09 ,51.5938544 ,-27.3174802 ,-19.424 ,-78.548 ,-114.804 ,140.45 ,thin ,K0III ,5.94 ,0.934 ,-35.30 ,13.10 ,-7.30 ,4987.0 ,2.66 ,,,,,,,
96183 ,184385 ,19332555+2150256 ,0.16 ,,-0.04 ,0.11 ,0.105 ,0.17 ,0.17 ,-2.78 ,,,0.14 ,0.19 ,,,,0.1 ,,-0.12 ,,,293.3564692 ,21.8403262 ,7.702 ,19.147 ,3.136 ,20.88 ,thin ,G8V ,6.88 ,0.745 ,21.80 ,-0.30 ,-7.60 ,5538.8 ,4.49 ,,,,,,,
96185 ,184499 ,19332714+3312064 ,-0.47 ,-0.23 ,-0.02 ,-0.19 ,-0.28 ,-0.35 ,-0.27 ,-2.185 ,,,-0.42 ,-0.295 ,,,-0.31 ,-0.49 ,-0.685 ,-0.53 ,-0.24 ,-0.39 ,293.3628380 ,33.2018660 ,2.503 ,6.338 ,31.182 ,31.92 ,thick ,G0.V ,6.64 ,0.595 ,-65.00 ,-161.70 ,58.40 ,5737.7 ,4.04 ,,,,,,,
3203 ,3821 ,00404747-0713574 ,-0.02 ,-0.053 ,-0.0895 ,-0.048 ,-0.09 ,-0.047 ,-0.045 ,,,,-0.15 ,-0.0935 ,,,-0.087 ,-0.168 ,-0.285 ,-0.2695 ,,-0.019 ,10.1978478 ,-7.2326091 ,-11.025 ,-10.756 ,-21.513 ,26.46 ,thin ,G1V ,7.05 ,0.620 ,3.60 ,-6.70 ,-16.80 ,5820.5 ,4.46 ,,,,,,,
103414 ,199442 ,20571057+0027495 ,0.225 ,0.085 ,0.07 ,0.375 ,0.475 ,0.17 ,0.205 ,-2.93 ,0.45 ,,0.295 ,0.415 ,,,0.44 ,0.315 ,0.415 ,1.34 ,,1.22 ,314.2940739 ,0.4637778 ,87.804 ,11.909 ,44.319 ,99.07 ,thin ,K3III ,6.06 ,1.217 ,-5.30 ,-37.50 ,-5.00 ,,,,,,,,,
30668 ,45282 ,06264076+0325298 ,-1.315 ,-1.565 ,-0.83 ,-1.21 ,-1.16 ,-1.18 ,-1.29 ,,-1.405 ,,-1.63 ,-2.1 ,,-1.44 ,-1.405 ,-1.54 ,-2.175 ,-1.655 ,,,96.6698870 ,3.4249420 ,107.463 ,-94.155 ,-41.603 ,148.81 ,thick ,G0/2IV/V ,8.03 ,0.703 ,-243.80 ,-190.00 ,-45.60 ,5261.8 ,3.16 ,,,,,,,
63452 ,112973 ,13000749+3455097 ,-0.21 ,-0.25 ,-0.06 ,-0.13 ,-0.25 ,-0.14 ,-0.06 ,,-0.1 ,,-0.36 ,-0.16 ,,,,-0.13 ,,,,,195.0311846 ,34.9193505 ,-106.776 ,-27.542 ,-41.737 ,117.91 ,thin ,K1III ,7.62 ,0.903 ,-34.40 ,-27.90 ,-33.40 ,,,,,,,,,
30687 ,45210 ,06265504+1727056 ,-0.01 ,-0.13 ,-0.05 ,-0.09 ,-0.19 ,0.06 ,0.01 ,,-0.33 ,,-0.32 ,-0.25 ,,,,-0.07 ,,,,,96.7293020 ,17.4515670 ,-17.802 ,13.818 ,-129.110 ,131.06 ,thin ,G0 ,7.71 ,0.719 ,-57.40 ,-3.90 ,-27.20 ,5798.0 ,,,,,,,,
63458 ,112988 ,13001030+3459541 ,-0.24 ,-0.24 ,-0.06 ,-0.16 ,-0.27 ,-0.17 ,-0.08 ,,-0.19 ,,-0.37 ,-0.17 ,,,,-0.16 ,,,,,195.0428650 ,34.9984180 ,-111.924 ,-30.269 ,-54.712 ,128.21 ,thin ,G0 ,7.76 ,0.918 ,-38.20 ,-29.70 ,-31.10 ,,,,,,,,,
96229 ,184406 ,19340535+0722442 ,0.155 ,0.24 ,0.005 ,0.32 ,0.37 ,0.17 ,0.31 ,-3.34 ,,,0.41 ,0.49 ,,,0.35 ,0.235 ,0.28 ,0.51 ,,0.97 ,293.5223051 ,7.3789394 ,-3.226 ,-14.662 ,29.188 ,32.82 ,thin ,K3-IIIbFe0.5 ,4.45 ,1.176 ,-16.80 ,-24.20 ,-38.10 ,4526.0 ,2.56 ,,,,,,,
96240 ,,19340982-2300597 ,-0.1 ,-0.19 ,,-0.187 ,-0.128 ,-0.047 ,0.058 ,,,,-0.095 ,-0.095 ,,,-0.101 ,-0.132 ,-0.29 ,-0.3 ,,,293.5409443 ,-23.0165746 ,5.039 ,25.121 ,42.227 ,49.39 ,N/A ,K3V ,10.07 ,1.010 ,9999.00 ,9999.00 ,9999.00 ,4849.0 ,4.47 ,,,,,,,
30711 ,45588 ,06271136-2551232 ,0.08 ,0.1 ,-0.03 ,0.143 ,0.0245 ,0.122 ,0.124 ,,-0.08 ,,-0.0415 ,2.13371e-16 ,,,0.2415 ,0.041 ,-0.182 ,-0.239 ,,-0.0395 ,96.7973531 ,-25.8564975 ,-18.183 ,12.227 ,-19.364 ,29.24 ,thin ,F8IV ,6.07 ,0.545 ,0.70 ,-31.00 ,-43.20 ,6189.3 ,4.26 ,,,,,,,
96258 ,184960 ,19341977+5114121 ,0.02 ,,,0.08 ,0.03 ,0.14 ,0.02 ,-0.58 ,,,-0.07 ,-0.02 ,,,0.18 ,-0.06 ,-0.42 ,-0.3 ,,0.04 ,293.5824572 ,51.2366188 ,-2.226 ,-14.111 ,20.897 ,25.31 ,thin ,F8V ,5.70 ,0.475 ,19.00 ,1.80 ,-12.40 ,6288.9 ,4.28 ,,,,,,,
63494 ,112992 ,13003594-0322066 ,0.12 ,-0.05 ,-0.01 ,0.29 ,0.33 ,0.16 ,0.13 ,-3.22 ,,,0.26 ,0.4 ,,,0.19 ,0.21 ,0.33 ,0.8 ,,0.95 ,195.1497730 ,-3.3684860 ,-91.080 ,-35.434 ,22.563 ,100.30 ,thin ,K1III ,5.99 ,1.119 ,-12.00 ,1.40 ,33.70 ,,,,,,,,,
30728 ,45415 ,06272045+0254309 ,0.025 ,-0.155 ,-0.065 ,0.095 ,0.1 ,0.06 ,4.61436e-16 ,-3.095 ,0.12 ,,1.80411e-16 ,0.18 ,,,0.085 ,-0.01 ,,0.205 ,,0.41 ,96.8352087 ,2.9082910 ,74.873 ,-46.335 ,20.923 ,90.50 ,thin ,G8III ,5.55 ,1.035 ,-52.00 ,-11.30 ,-18.20 ,4801.3 ,2.64 ,,,,,,,
96265 ,184317 ,19342604-1255359 ,0.11 ,0.07 ,-0.01 ,0.11 ,0.13 ,0.06 ,0.1 ,,,,0.06 ,0.06 ,,,0.04 ,0.13 ,,,,-0.02 ,293.6084336 ,-12.9266788 ,-6.054 ,-46.137 ,-17.531 ,49.73 ,thin ,G3V ,7.72 ,0.614 ,29.10 ,-27.00 ,24.00 ,5878.5 ,,,,,,,,
96285 ,184489 ,19343982+0434572 ,-0.12 ,,,0.3 ,0.78 ,-0.07 ,-0.02 ,,,,0.2 ,0.05 ,,,0.69 ,0.26 ,0.18 ,1.44 ,,2.25 ,293.6660007 ,4.5825135 ,0.136 ,1.862 ,-14.295 ,14.42 ,thin ,K8V ,9.33 ,1.390 ,-69.80 ,-14.80 ,-13.70 ,3757.5 ,,,,,,,,
63530 ,113027 ,13010677-3328484 ,-0.03 ,0.01 ,,-0.07 ,-0.03 ,-0.05 ,-0.08 ,,,,-0.11 ,-0.19 ,,,-0.18 ,-0.04 ,,,,0.03 ,195.2782840 ,-33.4801323 ,-18.157 ,-9.909 ,-38.464 ,43.67 ,thin ,G2V ,7.56 ,0.569 ,19.10 ,13.10 ,-11.40 ,6150.0 ,,,,,,,,
63533 ,113095 ,13010963+1707234 ,0.005 ,-0.17 ,0.01 ,0.1 ,0.14 ,0.12 ,0.05 ,-2.69 ,,,0.17 ,0.18 ,,,0.06 ,0.03 ,-0.04 ,0.3 ,,0.44 ,195.2900644 ,17.1231465 ,-17.523 ,-9.832 ,-128.078 ,129.65 ,thin ,K0III ,5.93 ,0.971 ,2.90 ,-13.10 ,-8.00 ,4975.0 ,2.95 ,,,,,,,
63548 ,113101 ,13011952-0826255 ,-0.045 ,0.01 ,,0.0615 ,-0.004 ,-0.0435 ,0.077 ,,,,-0.09 ,0.075 ,,,0.08 ,-0.0665 ,-0.1 ,-0.1 ,,,195.3312542 ,-8.4403816 ,-27.524 ,-16.970 ,-48.672 ,58.43 ,thick ,G6V ,9.02 ,0.736 ,-95.30 ,-74.30 ,-33.60 ,5451.5 ,4.43 ,,,,,,,
63559 ,113083 ,13012630-2722281 ,-0.89 ,-0.86 ,-0.95 ,-0.76 ,-0.86 ,-0.815 ,-0.84 ,,-0.71 ,,-1.025 ,,,,,-0.985 ,,,,,195.3594607 ,-27.3745308 ,-30.387 ,-19.940 ,-45.782 ,58.45 ,thick ,G2Vm-3 ,8.05 ,0.550 ,20.90 ,-247.70 ,93.90 ,5887.8 ,4.42 ,,,,,,,
96334 ,183414 ,19350972-6958321 ,0.02 ,-0.01 ,-0.16 ,0.12 ,0.02 ,0.02 ,0.03 ,,,,-0.06 ,-0.07 ,,,-0.01 ,-0.02 ,-0.18 ,-0.16 ,,0.06 ,293.7904964 ,-69.9755830 ,1.281 ,-24.814 ,-28.893 ,38.11 ,thin ,G3V ,7.91 ,0.648 ,-14.20 ,-27.10 ,-1.20 ,5730.0 ,,,,,,,,
103438 ,199065 ,,0.2 ,,-0.17 ,0.12 ,0.13 ,0.15 ,0.23 ,,,,0.03 ,0.08 ,,,0.12 ,0.18 ,0.05 ,,,-0.08 ,314.3434768 ,-59.0759602 ,-47.934 ,-8.931 ,-34.391 ,59.67 ,thin ,G3V ,8.43 ,0.658 ,0.20 ,-16.30 ,-9.60 ,5515.0 ,,,,,,,,
96351 ,184663 ,19352513+0254490 ,0.27 ,,,,0.65 ,0.01 ,0.96 ,,,,1.79 ,,,,1.44 ,0.38 ,,,,0.3 ,293.8547160 ,2.9136050 ,-4.500 ,38.688 ,9.037 ,39.98 ,thin ,F5V ,6.38 ,0.414 ,-1.30 ,11.80 ,2.00 ,6600.2 ,4.33 ,,,,,,,
63584 ,113337 ,13014695+6336368 ,0.19 ,,,0.08 ,0.18 ,0.3 ,0.25 ,,,,0.2 ,,,,0.1 ,0.18 ,,,,,195.4455280 ,63.6102250 ,20.640 ,16.244 ,25.899 ,36.89 ,thin ,F5V ,6.03 ,0.427 ,-22.00 ,-22.20 ,-14.40 ,6607.0 ,4.20 ,,b ,324.0 ,2.83 ,0.46 ,0.92 ,
108903 ,209268 ,22033524-5558369 ,-0.04 ,,,,-0.03 ,,0.05 ,,,,-0.09 ,,,,,-0.08 ,,,,,330.8968523 ,-55.9769598 ,-21.437 ,-35.667 ,26.774 ,49.48 ,thin ,F7V ,6.88 ,0.564 ,64.40 ,-21.40 ,12.00 ,6116.0 ,4.12 ,,,,,,,
96365 ,184574 ,19353346-1215112 ,-0.045 ,-0.23 ,-0.05 ,0.095 ,0.11 ,-0.045 ,-0.095 ,-3.525 ,0.14 ,,-0.025 ,0.06 ,,,0.025 ,-0.05 ,-0.045 ,0.79 ,,0.52 ,293.8894154 ,-12.2531148 ,16.559 ,-109.191 ,35.774 ,116.09 ,thin ,K0III ,6.27 ,1.089 ,9.10 ,-6.60 ,-2.40 ,,,,,,,,,
96370 ,184509 ,19353577-2046553 ,-0.08 ,,,-0.02 ,-0.09 ,-0.01 ,-0.03 ,,,,-0.15 ,-0.21 ,,,0.03 ,-0.13 ,-0.39 ,-0.21 ,,-0.11 ,293.8991043 ,-20.7820910 ,-1.762 ,10.903 ,-29.189 ,31.21 ,thin ,F8.5V ,6.74 ,0.557 ,-29.00 ,-28.30 ,-12.80 ,6055.0 ,,,,,,,,
63608 ,113226 ,13021059+1057329 ,0.145 ,-0.14 ,0.16 ,0.155 ,0.205 ,0.18 ,0.095 ,-2.835 ,0.58 ,,0.35 ,0.18 ,,,0.16 ,0.12 ,0.02 ,-0.15 ,,0.66 ,195.5441384 ,10.9591401 ,-0.858 ,-0.824 ,-32.642 ,32.66 ,thin ,G8III ,2.79 ,0.934 ,-40.40 ,-19.10 ,-10.90 ,5001.1 ,2.81 ,,,,,,,
